Quantity,Designator,Value,Part Type,Manufacturer,Article Number,Combined Parameters,Manufacturer Order Number,PackageReference,SheetNumber,LCSC Part #,MPN
,,,,,,,,,,,
1,190,61201021621,Connector,Wurth Elektronik,638630,Board-to-Board/Cable Header (male);5x2;Mounting:THT;Orient:0° (vertical);Shielded:No,61201021621,THT,,,61201021621
1,C210,1mF,Capacitor,Kemet,646789,TC:Aluminiumelectrolytic;Tol.:-20%/+20%;Vdc:35V,ESY108M035AL4AA,Radial,,,ESY108M035AL4AA
3,"C212, C701, C715",220uF,Capacitor,Nippon Chemi-Con,699376,TC:Aluminiumelectrolytic;Tol.:-20%/+20%;Vdc:50V,EMZL500ARA221MJA0G,EMZL500ARA221MJA0G,,C6845235,EMZL500ARA221MJA0G
10,"C213, C321, C324, C331, C332, C404, C700, C710, C711, C712",10uF,"Capacitor, [NoParam]","Taiyo Yuden, [NoParam]","648992, [NoParam]","TC:X5R (EIA);Tol.:-20%/+20%;Vdc:50V, [NoParam]","C97712, UMK316BBJ106ML-T, [NoParam]","1206 (3216), [NoParam]",,"[NoValue], [NoParam], C97712",UMK316BBJ106ML-T
18,"C220, C320, C322, C400, C402, C500, C505, C520, C530, C533, C540, C560, C561, C600, C630, C811, C813, C814",100nF,"Capacitor, [NoParam]","MuRata, [NoParam]","282874, [NoParam]","TC:X7R (EIA);Tol.:-10%/+10%;Vdc:50V, [NoParam]","GRM31MR71H104KA01, [NoParam]","1206 (3216), [NoParam]",,"C82601, C97928",KAM31NR72A104KU
1,C221,1nF,Capacitor,MuRata,280698,TC:X7R (EIA);Tol.:-10%/+10%;Vdc:50V,GRM319R71H102KA01,1206 (3216),,C440200,C1206C102J1RACTU
1,C506,22nF,,,,,,,,C97929,GRM3195C1H223JA01D
1,"D112, D320",BAS3010A03WE6327HTSA1,,,,,,,,,BAS3010A03WE6327HTSA1
3,"D200, D201, D202",12V,Diode,Nexperia,659605,Vf:900mV;If:10mA;Ur:8V;Ir:100nA;Pmax:250mW,"BZX84-C12,215",SOT-23,,C12773,"BZX84-C12,215"
1,D203,ATL431AQDBZR,Integrated Circuit,Texas Instruments,644060,- -;Vdc min/max:-;Iout:-;Fmax:-,ATL431AQDBZR,SOT23-3 (DBZ),,C92572,ATL431AQDBZR
12,"D210, D502, D503, D504, D550, D741, D801, D804, D805, D806, D807, D808",Red,Diode,Wurth Elektronik,625459,Vf:2.4V;If:30mA;Ur:5V;Ir:10uA;Pmax:72mW,150060RS75000,1608 (0603),,C3030991,150060RS75000
1,D211,SMDJ20A,Diode,Littelfuse,646382,Vf:5V;If:-;Ur:20V;Ir:2uA;Pmax:6.5W,SMDJ20A,DO-214AB,,C2990194,SMDJ20A
1,D400,"PMEG3010ER,115",,,,,,,,,"PMEG3010ER,115"
7,"D510, D520, D530, D590, D800, D802, D803",BAT54-05,Diode,Infineon Technologies,430837,Vf:800mV;If:200mA;Ur:30V;Ir:2uA;Pmax:230mW,BAT54-05,PG-SOT23-3-11,,C533646,BAT5405E6327HTSA1
1,D730,SMC5K40A-M3/I,Diode,Vishay,646377,Vf:-;If:-;Ur:40V;Ir:-;Pmax:5kW,SMC5K40A-M3/I,SMC (DO-214AB),,,5.0SMDJ40AS
1,D731,PMEG6030ETPX,Diode,Nexperia,646087,Vf:530mV;If:4.2A;Ur:60V;Ir:200uA;Pmax:750mW,PMEG6030ETPX,SOD128,,,PMEG6030ETPX
1,G320,LMR51420XFDDCR,,,,,,,,C5752071,LMR51420XFDDCR
1,G330,LP3875EMP-5.0/NOPB,,,,,,,,C2860557,LP3875EMP-5.0/NOPB
4,"J421, J710, J715, P110",61300211121,"Connector, [NoParam]","Wurth Elektronik, [NoParam]","386760, [NoParam]","Board-to-Board Header (male);2x1;Mounting:THT;Orient:0° (vertical);Shielded:No, [NoParam]","61300211121, [NoParam]",,,,61300211121
1,L320,22uH,Inductor,Wurth Elektronik,638654,Tol.:-20%/+20%;Rdc:89mR;Idc:2.1A;Fres:15MHz,74404064220,SMD,,C1331921,74404064220
1,L420,27uH,Inductor,Wurth Elektronik,657324,Tol.:-20%/+20%;Rdc:40mR;Idc:4.6A;Fres:8MHz,7447709270,1210,,C6404671,7447709270
1,L421,15uH,Inductor,Bourns,657326,Tol.:-20%/+20%;Rdc:43mR;Idc:5.8A;Fres:11MHz,SRP6060FA-150M,6.6 x 6.4 mm,,C2047415,SRP6060FA-150M
1,NTC,NTC,Resistor,MuRata,466242,TCR:-;Tol.:-1%/+1%;Vdc:-;Idc:-;P:100mW,NCP18XH103F03RB,0603,,,NCP18XH103F03RB
2,"Q200, Q201",IPD650P06NM,Transistor FET,Infineon Technologies,644075,P-Channel Enhancement;Uds:-60V;Id:-22A;Rds:65R;P:83W,IPD650P06NM,PG-TO252-3-313,,,IPD650P06NMATMA1
5,"Q202, Q500, Q501, Q502, Q503",ISS17EP06LM,Transistor FET,Infineon Technologies,615536,P-Channel Enhancement;Uds:-60V;Id:-300mA;Rds:1.7R;P:360mW,ISS17EP06LM,PG-SOT23-3-5,,,ISS17EP06LMXTSA1
2,"Q400, Q401",BSC067N06LS3 G,,,,,,,,,BSC067N06LS3 G
1,Q402,IPD70P04P4L08ATMA2,,,,,,,,,IPD70P04P4L08ATMA2
3,"Q741, Q800, Q801",BSC0906NS,Transistor FET,Infineon Technologies,691273,N-Channel Enhancement;Uds:30V;Id:63A;Rds:4.5R;P:30W,BSC0906NS,TDSON-8,,,BSC0906NSATMA1
7,"R100, R101, R102, R204, R507, R527, R565",100k,"Resistor, [NoParam]","Vishay, Vishay Dale","354752, [NoParam]","TCR:100ppm/K;Tol.:-1%/+1%;Vdc:200V;Idc:-;P:250mW, [NoParam]","CRCW1206100KFK, [NoParam]","1206 (3216), [NoParam]",,C205048,CRCW1206100KFKEAC
11,"R112, R200, R202, R203, R205, R209, R503, R528, R564, R810, R812",47k,"Resistor, [NoParam]","Vishay, Vishay Dale","354562, [NoParam]","TCR:100ppm/K;Tol.:-1%/+1%;Vdc:200V;Idc:-;P:250mW, [NoParam]","CRCW120647K0FK, [NoParam]","1206 (3216), [NoParam]",,C844663,CRCW120647K0FKEAC
1,R160,3362P-1-103T_LF,Resistor,Bourns,647233,TCR:100ppm/K;Tol.:-10%/+10%;Vdc:300V;Idc:-;P:500mW,3362P-1-103T_LF,THT,,C6807374,3362P-1-103TLF
4,"R210, R212, R511, R814",18k,,,,,,,,,CRCW120618K0FKEA
2,"R211, SHUNT",15mR,Resistor,Ohmite,644055,TCR:75ppm/K;Tol.:-1%/+1%;Vdc:-;Idc:-;P:500mW,L4T12FR015FER,1206 (3216),,,L4T12FR015FER
1,R214,1MEG,Resistor,Vishay,355322,TCR:100ppm/K;Tol.:-1%/+1%;Vdc:200V;Idc:-;P:250mW,CRCW12061M00FK,1206 (3216),,C108083,CRCW12061M00FKEA
4,"R220, R500, R560, R721",22k,,,,,,,,C844656,CRCW120622K0FKEA
6,"R221, R332, R402, R501, R509, R722",4.7k,"[NoParam], Resistor","Vishay Semiconductor, Vishay","[NoParam], 353992","[NoParam], TCR:100ppm/K;Tol.:-1%/+1%;Vdc:200V;Idc:-;P:250mW","[NoParam], CRCW12064K70FK","[NoParam], 1206 (3216)",,"C137262, [NoParam]",CRCW12064K70FKEA
1,R321,39k,,,,,,,,,CRCW120639K0FKEA
2,"R400, R401",20.5R,Resistor,Vishay,352637,TCR:100ppm/K;Tol.:-1%/+1%;Vdc:200V;Idc:-;P:250mW,CRCW120620R5FK,1206 (3216),,C488728,CRCW120620R5FKEA
13,"R502, R551, R552, R553, R554, R561, R800, R801, R802, R803, R804, R805, R806",4.7KOhm,,Vishay Semiconductor,,,,,,C137262,CRCW12064K70FKEA
4,"R504, R505, R811, R813",64.9k,"[NoParam], Resistor","[NoParam], Vishay","[NoParam], 354647","[NoParam], TCR:100ppm/K;Tol.:-1%/+1%;Vdc:200V;Idc:-;P:250mW","[NoParam], CRCW120664K9FK","[NoParam], 1206 (3216)",,C274045,CRCW120664K9FKEA
3,"R506, R532, R562",10k,,Vishay Dale,,,,,,C313977,CRCW120610K0FKEAHP
3,"R508, R610, R635",2.2k,"Resistor, [NoParam]","Vishay, [NoParam]","353792, [NoParam]","TCR:100ppm/K;Tol.:-1%/+1%;Vdc:200V;Idc:-;P:250mW, [NoParam]","CRCW12062K20FK, [NoParam]","1206 (3216), [NoParam]",,C204754,CRCW12062K20FKEA
1,R510,56k,,,,,,,,C137251,CRCW120656K0FKEA
1,R569,3361P-1-103GLF,,,,,,,,C840679,3361P-1-103GLF
2,"R611, R636",0k,,,,,,,,C844861,CRCW12060000Z0EA
4,"S110, S560, S810, S812",1301.9314,Electro Mechanic,Schurter,380147,,1301.9314,,,,1301.9314
6,"S122, S200, S800, S801, S802, S814",500SSP1S2M2QEA,,,,,,,,,500SSP1S2M2QEA
6,"TP100, TP101, TP102, TP103, TP104, TP105",5011,Connector,Keystone Electronics Corp.,382410,Board-to-Cable None (onboard);1x1;Mounting:THT;Orient:0° (vertical);Shielded:No,5011,,,"[NoValue], C238127",5011
9,"TP160, TP211, TP320, TP400, TP401, TP431, TP532, TP600, TP630",5010,Connector,Keystone Electronics Corp.,382400,Board-to-Cable None (onboard);1x1;Mounting:THT;Orient:0° (vertical);Shielded:No,5010,,,C2906765,5010
1,U400,LTC4449EDCBTRMPBF,,,,,,,,C580913,LTC4449EDCB#TRMPBF
1,U420,TSC2010HYDT,,,,,,,,C4370994,TSC2010HYDT
1,U520,LM339PWR,Analog Parts,Texas Instruments,409035,Res.:-;Fmax:-,LM339PWR,TSSOP-14 (PW),,,LM339PWR
1,U540,"HEF4043BT,653",Integrated Circuit,Nexperia,648079,- Digital;Vdc min/max:3V/15V;Iout:2.4mA;Fmax:-,"HEF4043BT,653",SO-16,,,"HEF4043BT,653"
1,U630,TSC2011HYDT,,,,,,,,,TSC2011HYDT
1,X100,973 582-101,Connector,Hirschmann Test & Measurement,377341,Board-to-Cable Socket (female);2x1;Mounting:THT;Orient:90° (right angle);Shielded:No,973 582-101,,,,973582101
1,X101,973 582-100,Connector,Hirschmann Test & Measurement,377401,Board-to-Cable Socket (female);-x-;Mounting:THT;Orient:90° (right angle);Shielded:No,973 582-100,,,,973582100
1,X110,Arduino-Uno,Connector,Infineon Technologies,644888,Board-to-Board Socket (female);-x-;Mounting:THT;Orient:0° (vertical);Shielded:-,Arduino-Uno,THT,,,
1,X140,CES-105-01-L-S,,,,,,,,,CES-105-01-L-S
