Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
Q402,IPD70P04P4L08ATMA2,Bottom,IPD70P04P4L08ATMA2,30.67,74.1,270,MOSFET (P-Channel)
D320,BAS3010A03,Top,SOD2513X110N,55,87.7,270,Diode
TP103,5011,Top,CON-THT-TP-5011,11.4,26,90,"PC Test Point-Multipurpose THT, Black"
TP101,5011,Top,CON-THT-TP-5011,11.4,33,90,"PC Test Point-Multipurpose THT, Black"
TP100,5011,Top,CON-THT-TP-5011,11.4,40,90,"PC Test Point-Multipurpose THT, Black"
C320,100nF,Bottom,CAPC3216X125N-0,46.9,87.8,90,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
X101,973 582-100,Bottom,CON-THT-973_582-_100,50.517,107.25,270,"Banana Socket, black, 17.5mm Pitch"
R332,4.7k,Top,RESC3216X60X45ML15T20,49.8,78.6,180,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R321,39k,Top,FP-CRCW1206-e3-IPC_A,49.7,82.5,0,"RES Thick Film, 39kO, 1%, 0.25W, 100ppm/°C, 1206"
C322,100nF,Bottom,FP-1206-L_3_2_0_2-W_1_6_0-MFG,49.8988,84.35,0,"General Purpose Ceramic Capacitor, 1206, 100nF, 10%, X7R, 15%, 50V"
G330,LP3875EMP-5.0_NOPB,Top,SOT150P700X180-5N,59.4,79.4,270,Integrated Circuit
C332,10uF,Bottom,FP-1206-L_3_2_0_3-W_1_6_0-IPC_B,58,77.9,270,None
R636,0k,Top,FP-CRCW1206-e3-IPC_C,51.4,102.9,270,"RES Thick Film, 0O, 0.25W, 1206"
R635,2.2k,Top,FP-CRCW1206-e3-IPC_C,51.4,109,270,"RES Thick Film, 2.2kO, 1%, 0.25W, 100ppm/°C, 1206"
U630,TSC2011HYDT,Top,SOIC127P600X175-8N,62.8,108.8,180,Integrated Circuit
R211,15mR,Top,RES-SMD-L4T12,59.66,100.76,180,RES / STD / 15mR / 500mW / 1% / 75ppm/K / -55°C to 155°C / 1206 (3216) / SMD / -
R611,0k,Top,FP-CRCW1206-e3-IPC_C,72.4,72.1,180,"RES Thick Film, 0O, 0.25W, 1206"
P110,61300211121,Top,61300211121,114.4,27.5,180,
S122,500SSP1S2M2QEA,Top,500SSP1S2M2QEA,34.5,30.7,90,Connector
R402,4.7k,Bottom,RESC3216X60X45ML15T20,19.525,76.1,0,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R527,100k,Top,RESC3216X60X45NL10T20,103.1,85.2,180,
S801,500SSP1S2M2QEA,Top,500SSP1S2M2QEA,31.0563,9.3215,90,Connector
S802,500SSP1S2M2QEA,Top,500SSP1S2M2QEA,47.0563,9.3805,90,Connector
S814,500SSP1S2M2QEA,Top,500SSP1S2M2QEA,48.7,30.7773,270,Connector
190,61201021621,Top,CON-M-THT-61201021621,98.9,7.3123,270,"WR-BHD Male Box Header, 2.54mm pitch, 10 pin, Vertical, Double row"
C712,10uF,Top,CAPC3216X190N-1,68.66,91.96,270,CAP / CERA / 10uF / 50V / 20% / X5R (EIA) / -55°C to 85°C / 1206 (3216) / SMD / -
R569,10k,Top,3361P1103GLF,97.6,112.44,180,Variable Resistor
U520,LM339PWR,Top,SOP65P640X120-14N-1,111.552,96.49,270,Quad Differential Comparator
C715,220uF,Top,CAPAE1030X1050N-3,85.56,91.26,0,CAP / ELCO / 220uF / 50V / 20% / Aluminiumelectrolytic / -55°C to 105°C / 10.30mm L X 10.30mm W X 10.50mm H / - / -
R803,4.7k,Top,RESC3216X60X45ML15T20,52.9563,13.2805,0,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
D400,"PMEG3010ER,115",Top,PMEG3010ER115,29.2998,67.1485,0,Schottky Diode
R610,2.2k,Top,FP-CRCW1206-e3-IPC_C,76.6,72.1,0,"RES Thick Film, 2.2kO, 1%, 0.25W, 100ppm/°C, 1206"
U420,TSC2010HYDT,Top,FP-SO8-IPC_C,84.4,67.8,180,IC CURRENT SENSE 1 CIRCUIT 8SOIC
C600,100nF,Bottom,FP-1206-L_3_2_0_2-W_1_6_0-MFG,83.3,68,0,"General Purpose Ceramic Capacitor, 1206, 100nF, 10%, X7R, 15%, 100V"
J715,61300211121,Top,CON-M-THT-61300211121,72.56,85.56,90,"Header, 2.54mm Pitch, 2 pin, Vertical, Single Row"
J710,61300211121,Top,CON-M-THT-61300211121,68.06,85.56,90,"Header, 2.54mm Pitch, 2 pin, Vertical, Single Row"
J421,61300211121,Top,CON-M-THT-61300211121,63.1818,56.8042,0,"Header, 2.54mm Pitch, 2 pin, Vertical, Single Row"
R565,100k,Top,RESC3216X60X45NL10T20,103.1,95.1,0,
R564,47k,Top,RESC3216X60X45LL10T20,97.6,95.1,0,
NTC,10k,Top,RESC1608X95N-1,97.6,81.9,180,RES / NTC / 10k / 100mW / 1% / - / -40°C to 125°C / 0603(1608) / SMD / -
R562,10k,Top,RESC3116X65X50NL20T20,97.6,85.2,0,
R561,4.7k,Top,RESC3216X60X45ML15T20,97.6,91.8,180,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R560,22k,Top,FP-CRCW1206-e3-IPC_A,97.6,88.5,0,"RES Thick Film, 22kO, 1%, 0.25W, 100ppm/°C, 1206"
R554,4.7k,Top,RESC3216X60X45ML15T20,108.54,65.84,90,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
Q503,ISS17EP06LM,Top,SOT95P240X110-3N-1-V,115.44,65.54,0,"OptiMOSTM Small Signal Transistor, -60 V"
D530,BAT54-05,Top,SOT95P240X110-3N-1-V,117.94,90.84,180,"Silicon Schottky Diode, LS(nH) 1.8, VR 30V"
D504,Red,Top,LEDSC160X80X80-2N-1,112.14,65.64,270,"WL-SMCW SMT Mono-color Chip LED Waterclear, Red,630nm"
C561,100nF,Bottom,CAPC3216X125N-0,113.9,91.8,180,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
C560,100nF,Bottom,CAPC3216X125N-0,113.9,94.5,180,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
Q400,BSC067N06LS3_G,Top,BSC080N03LSG,17.5493,65.3486,90,MOSFET (N-Channel)
R160,10k,Top,POT-THT-3362P,49.63,47.16,90,"RES / VAR / 10k / 500mW / 10% / 100ppm/K / -55°C to 125°C / Potentiometer, THT, 2.54 mm pitch, 3 pin, 6.60 mm L X 6.99 mm W X 15.06 mm H body / THT / -"
X100,973 582-101,Bottom,CON-THT-973_582-_101,31.5,107.25,270,"Banana Socket, Red, 17.5mm Pitch"
U400,LTC4449EDCBTRMPBF,Top,DFN200X300X80-9N,27,64.5,0,High Speed Synchronous N-Channel MOSFET Driver
Q202,ISS17EP06LM,Top,SOT95P240X110-3N-1-V,19.6993,102.8013,0,"OptiMOSTM Small Signal Transistor, -60 V"
R721,22k,Top,FP-CRCW1206-e3-IPC_A,67.0522,60.1333,0,"RES Thick Film, 22kO, 1%, 0.25W, 100ppm/°C, 1206"
X140,CES-105-01-L-S,Top,CES-105-XX-Y-S,2.0393,57.0613,270,Connector
U540,"HEF4043BT,653",Top,SOIC127P600X175-16N-6,109.54,108.34,0,Quad R/S latch with 3-state outputs
TP630,5010,Top,CON-THT-TP-5010,69.46,102.36,90,"PC Test Point-Multipurpose THT, Red"
TP600,5010,Top,CON-THT-TP-5010,91.5,73.6,90,"PC Test Point-Multipurpose THT, Red"
TP532,5010,Top,CON-THT-TP-5010,100.9,72.4,90,"PC Test Point-Multipurpose THT, Red"
TP431,5010,Top,CON-THT-TP-5010,77.3,61.7,270,"PC Test Point-Multipurpose THT, Red"
TP401,5010,Top,CON-THT-TP-5010,34.7,59.8,0,"PC Test Point-Multipurpose THT, Red"
TP400,5010,Top,CON-THT-TP-5010,29.9,41.4,270,"PC Test Point-Multipurpose THT, Red"
TP320,5010,Top,CON-THT-TP-5010,67.5,79.9,90,"PC Test Point-Multipurpose THT, Red"
TP211,5010,Top,CON-THT-TP-5010,2.1393,66.4413,270,"PC Test Point-Multipurpose THT, Red"
TP160,5010,Top,CON-THT-TP-5010,45.8275,52.7273,180,"PC Test Point-Multipurpose THT, Red"
TP105,5011,Top,CON-THT-TP-5011,40.8,93.2,90,"PC Test Point-Multipurpose THT, Black"
TP104,5011,Top,CON-THT-TP-5011,113.4,56.3,270,"PC Test Point-Multipurpose THT, Black"
TP102,5011,Top,CON-THT-TP-5011,15.7993,98.1013,0,"PC Test Point-Multipurpose THT, Black"
S812,1301.9314,Top,SW-SMD-1301.9314,37.5393,48.6,180,"Pushbutton Tactile Switch, Single Pole Single Throw, 4 Pins"
S810,1301.9314,Top,SW-SMD-1301.9314,20.339,48.6,180,"Pushbutton Tactile Switch, Single Pole Single Throw, 4 Pins"
S800,500SSP1S2M2QEA,Top,500SSP1S2M2QEA,15.0955,9.3218,90,Connector
S560,1301.9314,Top,SW-SMD-1301.9314,86.6274,107.8626,90,"Pushbutton Tactile Switch, Single Pole Single Throw, 4 Pins"
S200,500SSP1S2M2QEA,Top,500SSP1S2M2QEA,3.9993,83.4013,90,Connector
S110,1301.9314,Top,SW-SMD-1301.9314,114.2,13.5,270,"Pushbutton Tactile Switch, Single Pole Single Throw, 4 Pins"
R814,18k,Top,FP-CRCW1206-e3-IPC_C,53.4,30.2,270,"RES Thick Film, 18kO, 1%, 0.25W, 100ppm/°C, 1206"
R813,64.9k,Top,RESC3216X60N,30.7393,48.6,180,RES / STD / 64.9k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R812,47k,Top,RESC3216X60X45LL10T20,35.1,53.2,180,
R811,64.9k,Top,RESC3216X60N,13.9393,48.6,180,RES / STD / 64.9k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R810,47k,Top,RESC3216X60X45LL10T20,17.9,53.4,180,
R806,4.7k,Top,RESC3216X60X45ML15T20,23.9,38.6,270,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R805,4.7k,Top,RESC3216X60X45ML15T20,23.9,33.5,270,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R804,4.7k,Top,RESC3216X60X45ML15T20,23.9,28.5,270,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R802,4.7k,Top,RESC3216X60X45ML15T20,36.9563,13.2805,0,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R801,4.7k,Top,RESC3216X60X45ML15T20,23.9,23.8,270,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R800,4.7k,Top,RESC3216X60X45ML15T20,20.9955,13.2805,0,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R722,4.7k,Top,RESC3216X60X45ML15T20,62.3529,60.132,0,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R553,4.7k,Top,RESC3216X60X45ML15T20,108.44,72.44,90,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R552,4.7k,Top,RESC3216X60X45ML15T20,108.64,78.44,90,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R551,4.7k,Top,RESC3216X60X45ML15T20,108.54,84.44,90,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R532,10k,Top,RESC3116X65X50NL20T20,103.1,88.5,180,
R528,47k,Top,RESC3216X60X45LL10T20,103.1,81.9,0,
R511,18k,Top,FP-CRCW1206-e3-IPC_C,97.6,98.4,0,"RES Thick Film, 18kO, 1%, 0.25W, 100ppm/°C, 1206"
R510,56k,Top,FP-CRCW1206-e3-IPC_C,97.6,101.7,180,"RES Thick Film, 56kO, 1%, 0.25W, 100ppm/°C, 1206"
R509,4.7k,Top,RESC3216X60N,103.1,98.4,180,RES / STD / 4.7k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R508,2.2k,Top,RESC3216X60N,88.8176,99.4876,90,RES / STD / 2.2k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R507,100k,Top,RESC3216X60N,84.4047,99.4876,90,RES / STD / 100k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R506,10k,Top,RESC3116X65X50NL20T20,90.0045,84.41,0,
R505,64.9k,Top,RESC3216X60N,84.7045,84.41,180,RES / STD / 64.9k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R504,64.9k,Top,FP-CRCW1206-e3-IPC_C,78.6045,84.41,180,"RES Thick Film, 64.9kO, 1%, 0.25W, 100ppm/°C, 1206"
R503,47k,Top,RESC3216X60X45LL10T20,103.1,101.7,180,
R502,4.7k,Top,RESC3216X60X45ML15T20,103.1,75.3,180,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R501,4.7k,Top,RESC3216X60N,103.1,91.8,180,RES / STD / 4.7k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R500,22k,Top,FP-CRCW1206-e3-IPC_A,103.1,78.6,0,"RES Thick Film, 22kO, 1%, 0.25W, 100ppm/°C, 1206"
SHUNT,15mR,Top,RES-SMD-L4T12,76.1,66.8,0,RES / STD / 15mR / 500mW / 1% / 75ppm/K / -55°C to 155°C / 1206 (3216) / SMD / -
R401,20.5R,Top,RESC3216X60N,18.2259,61.4486,180,RES / STD / 20.5R / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R400,20.5R,Top,RESC3216X60N,24.4248,67.1518,0,RES / STD / 20.5R / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
C331,10uF,Bottom,FP-1206-L_3_2_0_3-W_1_6_0-IPC_B,62.5,83.3,0,None
R221,4.7k,Top,RESC3216X60X45ML15T20,77.4,110.06,90,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R220,22k,Top,FP-CRCW1206-e3-IPC_A,73.86,110.06,270,"RES Thick Film, 22kO, 1%, 0.25W, 100ppm/°C, 1206"
R214,1MEG,Top,RESC3216X60N,24.1,98.3,90,RES / STD / 1MEG / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R212,18k,Top,FP-CRCW1206-e3-IPC_C,20.8,98.3,270,"RES Thick Film, 18kO, 1%, 0.25W, 100ppm/°C, 1206"
R210,18k,Top,FP-CRCW1206-e3-IPC_C,24.3993,103.3013,270,"RES Thick Film, 18kO, 1%, 0.25W, 100ppm/°C, 1206"
R209,47k,Top,RESC3216X60N,26.4,112.8,270,RES / STD / 47k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R205,47k,Top,RESC3216X60N,23.4,112.8,270,RES / STD / 47k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R204,100k,Top,RESC3216X60N,15.3993,103.2013,90,RES / STD / 100k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R203,47k,Top,RESC3216X60N,16.9,112.9,90,RES / STD / 47k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R202,47k,Top,RESC3216X60N,20.2,112.9,90,RES / STD / 47k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R200,47k,Top,RESC3216X60N,43.3,112.9,270,RES / STD / 47k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R112,47k,Top,RESC3216X60N,53.2,37.0785,270,RES / STD / 47k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R102,100k,Top,RESC3216X60N,52.8563,9.7685,180,RES / STD / 100k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R101,100k,Top,RESC3216X60N,36.6813,9.7684,180,RES / STD / 100k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R100,100k,Top,RESC3216X60N,20.7205,9.7685,180,RES / STD / 100k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
Q801,igfet_n_ch_enh_dio_1s2s3s4g5d6d7d8d_8p,Bottom,IFX-PG-TDSON-8-6-V,53.8063,7.035,180,"OptiMOS Power MOSFET, 30V"
Q800,igfet_n_ch_enh_dio_1s2s3s4g5d6d7d8d_8p,Bottom,IFX-PG-TDSON-8-6-V,37.5063,6.965,180,"OptiMOS Power MOSFET, 30V"
Q741,igfet_n_ch_enh_dio_1s2s3s4g5d6d7d8d_8p,Bottom,IFX-PG-TDSON-8-6-V,21.6,6.8,180,"OptiMOS Power MOSFET, 30V"
Q502,ISS17EP06LM,Top,SOT95P240X110-3N-1-V,115.24,72.04,0,"OptiMOSTM Small Signal Transistor, -60 V"
Q501,ISS17EP06LM,Top,SOT95P240X110-3N-1-V,115.14,78.44,0,"OptiMOSTM Small Signal Transistor, -60 V"
Q500,ISS17EP06LM,Top,SOT95P240X110-3N-1-V,114.94,84.24,0,"OptiMOSTM Small Signal Transistor, -60 V"
Q401,BSC067N06LS3_G,Top,BSC080N03LSG,35.9503,65.2486,270,MOSFET (N-Channel)
Q201,IPD650P06NM,Top,TO228P998X250-3N-V2,7.8993,103.4513,270,"OptiMOS Power Transistor, -60 V"
Q200,IPD650P06NM,Top,TO228P998X250-3N-V2,40.6,105.3,270,"OptiMOS Power Transistor, -60 V"
L421,15uH,Top,IND-SMD-SRP6060FA,64.4,66.3,0,"IND / STD / 15uH / 5.8A / 20% / -55°C to 155°C / 43mR / 6.6 x 6.4 mm / Inductor, SMD, 2 pin, 6.40 mm L X 6.60 mm W X 6.00 mm H body / - / -"
L420,27uH,Top,INDM120120X1000N,51.0078,67.0267,0,"IND / STD / 27uH / 4.6A / 20% / -40°C to 125°C / 40mR / 1210 / Inductor,Molded Body;12.00mm L X 12.00mm W X 10.00mm H / SMD / -"
L320,22uH,Top,IND-SMD-74404064220,60.65,88.8991,270,"IND / STD / 22uH / 2.1A / 20% / -40°C to 125°C / 89mR / SMD / Inductor; 2 pin, 6.00 mm L X 6.00 mm W X 4.50 mm H Body / SMD / -"
G320,LMR51420XFDDCR,Top,SOT95P280X110-6N,49.7,88,180,Integrated Circuit
D808,Red,Top,LEDSC160X80X80-2N-1,22,38.4,90,"WL-SMCW SMT Mono-color Chip LED Waterclear, Red,630nm"
D807,Red,Top,LEDSC160X80X80-2N-1,21.9608,33.5587,90,"WL-SMCW SMT Mono-color Chip LED Waterclear, Red,630nm"
D806,Red,Top,LEDSC160X80X80-2N-1,21.9,28.7,90,"WL-SMCW SMT Mono-color Chip LED Waterclear, Red,630nm"
D805,Red,Top,LEDSC160X80X80-2N-1,55.4145,6.5624,270,"WL-SMCW SMT Mono-color Chip LED Waterclear, Red,630nm"
D804,Red,Top,LEDSC160X80X80-2N-1,39.3645,6.427,270,"WL-SMCW SMT Mono-color Chip LED Waterclear, Red,630nm"
D803,BAT54-05,Top,SOT95P240X110-3N-1-V,52.2563,6.2995,270,"Silicon Schottky Diode, LS(nH) 1.8, VR 30V"
D802,BAT54-05,Top,SOT95P240X110-3N-1-V,36.2063,6.3,270,"Silicon Schottky Diode, LS(nH) 1.8, VR 30V"
D801,Red,Top,LEDSC160X80X80-2N-1,21.9,23.7,90,"WL-SMCW SMT Mono-color Chip LED Waterclear, Red,630nm"
D800,BAT54-05,Top,SOT95P240X110-3N-1-V,20.2455,6.2995,270,"Silicon Schottky Diode, LS(nH) 1.8, VR 30V"
D741,Red,Top,LEDSC160X80X80-2N-1,23.4037,6.3962,270,"WL-SMCW SMT Mono-color Chip LED Waterclear, Red,630nm"
D731,PMEG6030ETPX,Top,SODFL4725X110N,72.6,56.4,270,DIODE SCHOTTKY 60V 3A SOD128
D730,SMC5K40A-M3/I,Top,DIOM7959X262N,85.6,56.8,270,"Surface Mount Transient Voltage Suppressors, Unidirectional, Very Fast Response Time"
D590,BAT54-05,Top,SOT95P240X110-3N-1-V,118.04,95.54,180,"Silicon Schottky Diode, LS(nH) 1.8, VR 30V"
D550,Red,Top,LEDSC160X80X80-2N-1,112.04,84.64,270,"WL-SMCW SMT Mono-color Chip LED Waterclear, Red,630nm"
D520,BAT54-05,Top,SOT95P240X110-3N-1-V,118.04,104.94,180,"Silicon Schottky Diode, LS(nH) 1.8, VR 30V"
D510,BAT54-05,Top,SOT95P240X110-3N-1-V,118.14,100.34,180,"Silicon Schottky Diode, LS(nH) 1.8, VR 30V"
D503,Red,Top,LEDSC160X80X80-2N-1,111.94,72.54,270,"WL-SMCW SMT Mono-color Chip LED Waterclear, Red,630nm"
D502,Red,Top,LEDSC160X80X80-2N-1,112.04,78.44,270,"WL-SMCW SMT Mono-color Chip LED Waterclear, Red,630nm"
D211,SMDJ20A,Top,DIOM7959X262N,41.6,84.6,270,"TVS Diode, Low Profile Package, Built in Strain Relief, Glass Passivated Chip Junction"
D210,Red,Top,LEDSC160X80X80-2N-1,2.7,100.7,90,"WL-SMCW SMT Mono-color Chip LED Waterclear, Red,630nm"
D203,ATL431AQDBZR,Top,SOT95P237X112-3N-1,28.5993,104.6013,90,ATL431 Adjustable Precision Shunt Regulator
D202,12V,Top,SOT95P230X110-3N,22.6993,108.1013,0,Voltage regulator diodes
D201,12V,Top,SOT95P230X110-3N,16.5993,107.9013,0,Voltage regulator diodes
D200,12V,Top,SOT95P230X110-3N,38.35,112.35,270,Voltage regulator diodes
D112,BAS3010A03,Top,SOD2513X110N,114.3,23.9,180,Diode
C814,100nF,Bottom,CAPC3216X125N-0,53.6,27.3,90,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
C813,100nF,Bottom,CAPC3216X125N-0,29.3,49.9,270,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
C811,100nF,Bottom,CAPC3216X125N-0,12.6,49.8,270,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
C711,10uF,Top,CAPC3216X190N-1,76.46,92.06,270,CAP / CERA / 10uF / 50V / 20% / X5R (EIA) / -55°C to 85°C / 1206 (3216) / SMD / -
C710,10uF,Top,CAPC3216X190N-1,72.66,92.06,270,CAP / CERA / 10uF / 50V / 20% / X5R (EIA) / -55°C to 85°C / 1206 (3216) / SMD / -
C701,220uF,Top,CAPAE1030X1050N-3,98.3,57.2,0,CAP / ELCO / 220uF / 50V / 20% / Aluminiumelectrolytic / -55°C to 105°C / 10.30mm L X 10.30mm W X 10.50mm H / - / -
C700,10uF,Bottom,CAPC3216X190N-1,75.8,73.2,270,CAP / CERA / 10uF / 50V / 20% / X5R (EIA) / -55°C to 85°C / 1206 (3216) / SMD / -
C630,100nF,Bottom,CAPC3216X125N-0,57.5,104.1,180,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
C540,100nF,Bottom,CAPC3216X125N-0,113.283,111.6385,90,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
C533,100nF,Bottom,CAPC3216X125N-0,107.683,93.1385,0,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
C530,100nF,Bottom,CAPC3216X125N-0,111.907,85.573,180,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
C520,100nF,Bottom,CAPC3216X125N-0,115.483,98.7385,0,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
C506,22n,Bottom,FP-GRM319-0_15-IPC_C,108.683,101.0385,90,"Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 22000pF, C0G, 30ppm/°C, 5%, 50V"
C505,100nF,Bottom,CAPC3216X125N-0,110.812,102.4465,270,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
C500,100nF,Bottom,CAPC3216X125N-0,84.4047,99.4876,270,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
C404,10uF,Bottom,CAPC3216X190N-1,18.5354,61.4899,90,CAP / CERA / 10uF / 50V / 20% / X5R (EIA) / -55°C to 85°C / 1206 (3216) / SMD / -
C402,100nF,Bottom,CAPC3216X125N-0,30.5,66.3,90,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
C400,100nF,Bottom,CAPC3216X125N-0,26,62.7,0,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
C324,10uF,Bottom,CAPC3216X190N-1,55.3,81.6,90,CAP / CERA / 10uF / 50V / 20% / X5R (EIA) / -55°C to 85°C / 1206 (3216) / SMD / -
C321,10uF,Bottom,CAPC3216X190N-1,51.2,87.8,90,CAP / CERA / 10uF / 50V / 20% / X5R (EIA) / -55°C to 85°C / 1206 (3216) / SMD / -
C221,1nF,Top,CAPC3216X95N,70.86,110.06,90,CAP / CERA / 1nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
C220,100nF,Bottom,CAPC3216X125N-0,13.9,68.1,90,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
C213,10uF,Bottom,CAPC3216X190N-1,12,63,90,CAP / CERA / 10uF / 50V / 20% / X5R (EIA) / -55°C to 85°C / 1206 (3216) / SMD / -
C212,220uF,Top,CAPAE1030X1050N-3,31.5,85.1,90,CAP / ELCO / 220uF / 50V / 20% / Aluminiumelectrolytic / -55°C to 105°C / 10.30mm L X 10.30mm W X 10.50mm H / - / -
C210,1mF,Top,CAPPRD500W60D1300H2700B,18.64,85.54,270,CAP / ELCO / 1mF / 35V / 20% / Aluminiumelectrolytic / -40°C to 105°C / 5.00mm C X 0.60mm W 13.00mm Dia X 27.00mm H / - / -
